IECC_climate_code,TYPEHUQ,NWEIGHT,STATE_FIPS
1A,1,16405.834825,1
1A,2,959089.3965919,229
1A,3,174890.32888667,46
1A,4,151857.4853998,23
1A,5,847711.8924322,101
2A,1,1216373.9430704,108
2A,2,9405457.5017713,1014
2A,3,572758.6606618,93
2A,4,788680.5450241,74
2A,5,2478003.1943105,170
2B,1,227105.2911736,32
2B,2,1626613.0929011,308
2B,3,106481.0622907,40
2B,4,153560.0267878,16
2B,5,394481.3082621,47
3A,1,1511578.1664108,194
3A,2,10753569.2544348,1528
3A,3,682823.7992064,149
3A,4,754141.7030604,95
3A,5,2246074.0249447,194
3B,1,536741.3475116,52
3B,2,6888023.8060529,717
3B,3,783216.4854787,121
3B,4,913266.9197993,64
3B,5,2687945.0268904,190
3C,1,53696.2893954,6
3C,2,1759356.2981925,173
3C,3,269107.7394082,41
3C,4,276243.220461,19
3C,5,696041.383837,50
4A,1,1375320.5628576,203
4A,2,14662234.731157,2446
4A,3,2291999.68655966,506
4A,4,2261194.7750699,251
4A,5,5828799.0040859,689
4B,1,96740.1009304,14
4B,2,647289.7857013,109
4B,3,14906.9954355,5
4B,4,67248.5272608,8
4B,5,41081.1523138,7
4C,1,294769.4329335,46
4C,2,2379682.4059031,424
4C,3,129253.6533302,34
4C,4,200029.1062742,22
4C,5,872036.5138913,107
5A,1,760087.1792158,103
5A,2,18082634.9030825,2759
5A,3,1703348.45806465,396
5A,4,2866813.2299085,269
5A,5,4514914.2471183,487
5B,1,292306.09183659,65
5B,2,3378749.6359324,714
5B,3,273674.0622462,74
5B,4,219658.9624629,27
5B,5,851962.2419659,107
6A,1,320802.6016369,83
6A,2,5116205.5130137,1178
6A,3,332276.96177832,129
6A,4,526323.0442543,91
6A,5,1103535.7824049,173
6B,1,87423.96812798,42
6B,2,660198.81542023,327
6B,3,55944.5446847,34
6B,4,67448.40473740001,15
6B,5,107812.8355597,31
7A,1,31642.25364686,13
7A,2,572218.12169997,194
7A,3,30055.93421812,30
7A,4,60444.54631806,14
7A,5,133239.3281007,57
7AK,1,10561.49962867,11
7AK,2,123396.34019061,156
7AK,3,22213.93942433,41
7AK,4,23577.5909475,22
7AK,5,30038.176937199998,27
7B,2,17240.10437,4
7B,3,1849.60378795,2
7B,4,9139.1619841,1
8AK,1,944.43679723,1
8AK,2,35732.29357007,39
8AK,3,6375.08530402,10
8AK,4,2167.7502621000003,2
8AK,5,2185.8869381,2
